,LITTLE NECK PY/87 AV,JAMAICA AV/242 ST,LITTLE NECK PY/43 AV,LITTLE NECK PY/75 AV,LITTLE NECK PY/81 AV,212 PL/93 AV,LITTLE NECK PY/58 AV,HILLSIDE AV/182 PL,LITTLE NECK PY/WEST END DR,212 ST/91 AV,JAMAICA AV/214 PL,HILLSIDE AV/189 ST,JERICHO TPKE/MASSACHUSETTS BL,LITTLE NECK PY/LEEDS RD,JERICHO TPKE/REMSEN LANE,JERICHO TPKE/COMMONWEALTH BL,HILLSIDE AV/180 ST,HILLSIDE AV/188 ST,212 PL/89 AV,JAMAICA AV/239 ST,LITTLE NECK PY/CULLMAN AV,JERICHO TPKE/251 ST,JAMAICA AV/218 ST,40 AV/LITTLE NECK PY,212 PL/JAMAICA AV,JAMAICA AV/215 ST,LITTLE NECK PY/HORACE HARDING EXP,JERICHO TPK/COMMONWEALTH BL,257 ST/JERICHO TPKE,LITTLE NECK PY/MARATHON PY,165 ST TERM/165 ST TERM BAY 6,HILLSIDE AV/210 ST,LITTLE NECK PY/80 AV,HILLSIDE AV/207 ST,LITTLE NECK PY/UNION TP,JERICHO TPKE/250 ST,JAMAICA AV/216 ST,LITTLE NECK PY/SHILOH AV,JERICHO TPK/TULIP AV,HILLSIDE AV/179 ST SUBWAY,HILLSIDE AV/184 ST,212 ST/93 AV,LITTLE NECK PY/NORTHERN BL,JERICHO TPKE/PENNSYLVANIA BL,212 ST/94 AV,LITTLE NECK PY/GRAND CENTRAL PY,HILLSIDE AV/168 PL,HILLSIDE AV/EDGERTON BL,212 PL/94 AV,LITTLE NECK PY/255 ST,LITTLE NECK PY/260 ST,LITTLE NECK PY/BATES RD,LITTLE NECK PY/87 TER,HILLSIDE AV/198 ST,JAMAICA AV/222 ST,212 ST/89 AV,HILLSIDE AV/AVON ST,165 ST / 165 ST TERM,LITTLE NECK PY/ANNANDALE LA,HILLSIDE AV/199 ST,HILLSIDE AV/172 ST,LITTLE NECK PY/74 AV,HILLSIDE AV/211 ST,LITTLE NECK PY/85 AV,HILLSIDE AV/205 ST,JAMAICA AV/213 ST,165 ST/HILLSIDE AV,HILLSIDE AV/212 ST,HILLSIDE AV/175 ST,HILLSIDE AV/187 PL,LITTLE NECK PY/BRATTLE AV,LITTLE NECK PY/86 AV,JAMAICA AV/240 ST,HILLSIDE AV/209 ST,HILLSIDE AV/195 PL,JAMAICA AV/224 ST,HILLSIDE AV/171 ST,LITTLE NECK PY/83 AV,LITTLE NECK PY/61 AV,HILLSIDE AV/191 ST,JERICHO TPKE/91 AV,JERICHO TPKE/246 ST,JAMAICA AV/212 PL,256 ST/JERICHO TPKE,JERICHO TPKE/BRADDOCK AV,HILLSIDE AV/FRANCIS LEWIS BL,JAMAICA AV/SPRINGFIELD BL,JAMAICA AV/220 ST,LITTLE NECK PY/82 AV,LITTLE NECK PY/87 RD,212 PL/91 AV,LITTLE NECK PY/HILLSIDE AV,LITTLE NECK PY/73 RD,41 AV/LITTLE NECK PY,LITTLE NECK PY/NASSAU BL,JERICHO TPKE/LITTLE NECK PY,LITTLE NECK PY/87 DR,212 ST/90 AV,LITTLE NECK PY/60 AV,HILLSIDE AV/202 ST,212 PL/90 AV,LITTLE NECK PY/252 ST,HILLSIDE AV/193 ST,HILLSIDE AV/187 ST,HILLSIDE AV/HOMELAWN ST,College Point Depot (CP)
LITTLE NECK PY/86 AV,3.476 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/240 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/209 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/195 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/224 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,0.386 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/83 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 FLORAL PARK 257 ST via JAMAICA,,,6.073 JAMAICA 165 ST TERM,,,,,,,,,,,,,,
LITTLE NECK PY/61 AV,,,,,,,0.356 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,0.637 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/191 ST,,,,,,,,,,,,,,,,,,0.528 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35 FLORAL PARK 257 ST via JAMAICA,,,
JERICHO TPKE/91 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPKE/246 ST,,,,,,,,,,,,,0.774 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/212 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256 ST/JERICHO TPKE,,,,,,,,,,,,,,,,,,,,,,,,8.996 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 JAMAICA 165 ST TERM,,,,,,,,,,
JERICHO TPKE/BRADDOCK AV,,0.187 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631 JAMAICA 165 ST TERM,,,,,,
JAMAICA AV/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,0.173 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,
JAMAICA AV/220 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/82 AV,,,,,0.44 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/87 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.691 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,
212 PL/91 AV,,,,,,0.25 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86 JAMAICA 165 ST TERM,,,,,,,,,,,,,,7.786 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/73 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,2.251 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 AV/LITTLE NECK PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.449 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/NASSAU BL,,,,,,,0.435 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPKE/LITTLE NECK PY,,,,,,,,,,,,,,,,,,,,,,0.248 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/87 DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 ST/90 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/60 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/202 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 JAMAICA 165 ST TERM,,,,,,,,,,,0.156 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 PL/90 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,
LITTLE NECK PY/252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17 JAMAICA 165 ST TERM,,,,,,,,,,,,,
HILLSIDE AV/193 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 FLORAL PARK 257 ST via JAMAICA,,,,,0.186 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/HOMELAWN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.914 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
