,BEDFORD AV/GREENE AV,NOSTRAND AV/MARINE PY,NOSTRAND AV/EASTERN PY,NOSTRAND AV/AV P,NEW YORK AV/LINDEN BL,FULTON ST/NEW YORK AV,NEW YORK AV/UNION ST,NEW YORK AV/ST JOHNS PL,BEDFORD AV/GATES AV,SHORE PKY/NOSTRAND AV,NEW YORK AV/ATLANTIC AV,NEW YORK AV/PACIFIC ST,NOSTRAND AV/AV J,NOSTRAND AV/GLENWOOD RD,LEE AV/FLUSHING AV,BEDFORD AV/HEWES ST,NOSTRAND AV/CLARENDON RD,NOSTRAND AV/BERGEN ST,NOSTRAND AV/LAFAYETTE AV,NOSTRAND AV/CLARKSON AV,NOSTRAND AV/FARRAGUT RD,NOSTRAND AV/QUENTIN RD,NOSTRAND AV/LEFFERTS AV,NEW YORK AV/MONTGOMERY ST,NOSTRAND AV/CARROLL ST,NEW YORK AV/SNYDER AV,BEDFORD AV/MYRTLE AV,NOSTRAND AV/LINDEN BL,NOSTRAND AV/WILLOUGHBY AV,NEW YORK AV/CARROLL ST,BEDFORD AV/PARK AV,NEW YORK AV/TILDEN AV,NOSTRAND AV/AV Z,NEW YORK AV/PROSPECT PL,NEW YORK AV/CLARENDON RD,NOSTRAND AV/MYRTLE AV,NOSTRAND AV/ST JOHNS PL,NOSTRAND AV/GERRITSEN AV,NEW YORK AV/STERLING PL,NOSTRAND AV/AV S,NOSTRAND AV/RUTLAND RD,NOSTRAND AV/HAWTHORNE ST,EMMONS AV/BROWN ST,NOSTRAND AV/SHORE PY,NOSTRAND AV/AV X,LEE AV/HEWES ST,NEW YORK AV/FARRAGUT RD,NEW YORK AV/BEVERLY RD,NEW YORK AV/CLARKSON AV,NEW YORK AV/WINTHROP ST,NEW YORK AV/EASTERN PY,NOSTRAND AV/AV I,BEDFORD AV/FLUSHING AV,BEDFORD AV/TAYLOR ST,NEW YORK AV/EMPIRE BL,NOSTRAND AV/PACIFIC ST,NOSTRAND AV/MAPLE ST,NOSTRAND AV/TILDEN AV,NOSTRAND AV/AV L,NOSTRAND AV/FULTON ST,NEW YORK AV/FOSTER AV,SHORE PKY/BRIGHAM ST,NOSTRAND AV/AV M,NOSTRAND AV/EMPIRE BL,NOSTRAND AV/SNYDER AV,NEW YORK AV/LENOX RD,NEW YORK AV/MIDWOOD ST,NOSTRAND AV/PUTNAM AV,NOSTRAND AV/CHURCH AV,NOSTRAND AV/AV T,FARRAGUT RD/NOSTRAND AV,BEDFORD AV/FULTON ST,NEW YORK AV/AV D,NOSTRAND AV/AV V,NOSTRAND AV/AV U,EMMONS AV/BRIGHAM ST,LEE AV/TAYLOR ST,NEW YORK AV/BERGEN ST,SHORE PKY/BROWN ST,WILLIAMSBURG BR PLZ/LANE 4,NOSTRAND AV/AV K,EMMONS AV/NOSTRAND AV,NOSTRAND AV/BEVERLY RD,NOSTRAND AV/NEWKIRK AV,NOSTRAND AV/AV Y,NOSTRAND AV/MONTGOMERY ST,BEDFORD AV/PUTNAM AV,NOSTRAND AV/KOSCIUSKO ST,SHORE PKY/COYLE ST,NOSTRAND AV/FLATBUSH AV,NOSTRAND AV/AV N,NOSTRAND AV/PROSPECT PL,BEDFORD AV/DE KALB AV,NOSTRAND AV/GREENE AV,NOSTRAND AV/VOORHIES AV,NOSTRAND AV/KINGS HY,BEDFORD AV/HANCOCK ST,NOSTRAND AV/HANCOCK ST,NEW YORK AV/CHURCH AV,NEW YORK AV/EAST NEW YORK AV,NOSTRAND AV/AV W,NEW YORK AV/FENIMORE ST,BEDFORD AV/LAFAYETTE AV,BEDFORD AV/WILLOUGHBY AV,NOSTRAND AV/PARK AV,FULTON ST/NOSTRAND AV,EMMONS AV/FORD ST,KNAPP ST/SHORE PKY,NOSTRAND AV/FOSTER AV,NOSTRAND AV/AV R,NOSTRAND AV/GATES AV,Jackie Gleason Depot (JG)
NOSTRAND AV/EMPIRE BL,,,,,,,,,,,,,,,,,,,,,,,0.125 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/SNYDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/LENOX RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/MIDWOOD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.539 FLUSHING AV via NOSTRAND,,,,,,,,,,,,
NOSTRAND AV/PUTNAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,
NOSTRAND AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARRAGUT RD/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,
NEW YORK AV/AV D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,
NOSTRAND AV/AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 FLUSHING AV via NOSTRAND,,,,0.286 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/BRIGHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 FLUSHING AV via NOSTRAND,,,,,
LEE AV/TAYLOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/BERGEN ST,,,,,,,,,,,,0.174 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/BROWN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBURG BR PLZ/LANE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV K,,,,,,,,,,,,,0.291 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.029 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92 FLUSHING AV via NOSTRAND,,,,
NOSTRAND AV/BEVERLY RD,,,,,,,,,,,,,,,,,0.174 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/NEWKIRK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,
NOSTRAND AV/AV Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,0.251 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/MONTGOMERY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/PUTNAM AV,,,,,,,,,0.247 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/KOSCIUSKO ST,,,,,,,,,,,,,,,,,,,0.1 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/COYLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/FLATBUSH AV,,,,,,,,,,,,,,0.185 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.877 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,
NOSTRAND AV/PROSPECT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 FLUSHING AV via NOSTRAND,,,,,,,,
NOSTRAND AV/GREENE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,
NOSTRAND AV/VOORHIES AV,,,,,,,,,,0.612 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,0.881 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/KINGS HY,,,,0.488 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/HANCOCK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/HANCOCK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/CHURCH AV,,,,,0.242 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/EAST NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.519 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/FENIMORE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,
BEDFORD AV/WILLOUGHBY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/FORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNAPP ST/SHORE PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 FLUSHING AV via NOSTRAND,,,,,,0.848 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/FOSTER AV,,,,,,,,,,,,,,,,,,,,,0.298 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 FLUSHING AV via NOSTRAND,,0.215 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,5.404 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
