,WILSON AV/HIMROD ST,ROCKAWAY AV/ATLANTIC AV,S 5 ST/MONTROSE AV,WILSON AV/PUTNAM AV,ROCKAWAY AV/RIVERDALE AV,WILSON AV/GATES AV,ROCKAWAY AV/PITKIN AV,GLENWOOD RD/E 100 ST,ROCKAWAY AV/BLAKE AV,ROCKAWAY AV/LOTT AV,WILSON AV/WILLOUGHBY AV,ROCKAWAY AV/PROSPECT PL,ROCKAWAY AV/SUMPTER ST,DECATUR ST/EVERGREEN AV,GLENWOOD RD/E 103 ST,WILSON AV/BLEECKER ST,E 108 ST/FARRAGUT RD,E 108 ST/GLENWOOD RD,S 4 ST/RODNEY ST,WILSON AV/STANHOPE ST,WILSON AV/DECATUR ST,DECATUR ST/CENTRAL AV,WILSON AV/SCHAEFFER ST,JOHNSON AV/BOGART ST,WILSON AV/FLUSHING AV,S 4 ST/HEWES ST,MONTROSE AV/LORIMER ST,JOHNSON AV/MORGAN AV,WILSON AV/DE KALB AV,GLENWOOD RD/E 105 ST,ROCKAWAY AV/EAST NEW YORK AV,WILSON AV/JEFFERSON ST,WILLIAMS AV/GLENWOOD RD,WILSON AV/CORNELIA ST,WILSON AV/STARR ST,HARRISON PL/MORGAN AV,WILSON AV/HALSEY ST,MONTROSE AV/BUSHWICK AV,S 5 ST/RODNEY ST,ROCKAWAY AV/NEWPORT ST,ROCKAWAY AV/AV D,FLATLANDS AV/E 98 ST,WILSON AV/HANCOCK ST,MESEROLE ST/LEONARD ST,WILSON AV/JEFFERSON AV,ROCKAWAY PKY/FARRAGUT RD,WILSON AV/SUYDAM ST,ROCKAWAY AV/DUMONT AV,COOPER ST/CENTRAL AV,ROCKAWAY AV/BELMONT AV,ROCKAWAY AV/DEAN ST,WILSON AV/WOODBINE ST,ROCKAWAY AV/CHAUNCEY ST,WILSON AV/MENAHAN ST,WILLIAMS AV/WORTMAN AV,ROCKAWAY AV/LIVONIA AV,MORGAN AV/FLUSHING AV,MONTROSE AV/LEONARD ST,WILSON AV/GREENE AV,GRAHAM AV/JOHNSON AV,FLATLANDS AV/E 101 ST,JOHNSON AV/WHITE ST,S 5 ST/KEAP ST,ROCKAWAY PY/FARRAGUT RD,WILSON AV/COOPER ST,ROCKAWAY AV/LINDEN BL,DECATUR ST/BUSHWICK AV,BROADWAY/MARCY AV,ROCKAWAY AV/DITMAS AV,MONTROSE AV/MANHATTAN AV,MESEROLE ST/GRAHAM AV,MONTROSE AV/GRAHAM AV,E 108 ST/STANLEY AV,FLATLANDS AV/E 103 ST,FLATLANDS AV/E 105 ST,S 4 ST/HOOPER ST,COOPER ST/BROADWAY,MESEROLE ST/UNION AV,ROCKAWAY AV/BROADWAY,ROCKAWAY PY/GLENWOOD RD,ROCKAWAY AV/PACIFIC ST,COOPER ST/EVERGREEN AV,WASHINGTON PLZ/WASHINGTON PLZ,ROCKAWAY AV/HEGEMAN AV,ROCKAWAY AV/MAC DOUGAL ST,MESEROLE ST/LORIMER ST,ROCKAWAY AV/SUTTER AV,COOPER ST/BUSHWICK AV,WILSON AV/GROVE ST,ROCKAWAY AV/EASTERN PY,STANLEY AV/WILLIAMS AV,WILSON AV/TROUTMAN ST,MORGAN AV/THAMES ST,WILSON AV/MELROSE ST,JOHNSON AV/HUMBOLT ST,WILSON AV/MYRTLE AV,WASHINGTON PLZ/LANE 2,JOHNSON AV/BUSHWICK AV,FLATLANDS AV/E 108 ST,ROCKAWAY AV/MARION ST,WILSON AV/GEORGE ST,ROCKAWAY AV/FOSTER AV,MESEROLE ST/MANHATTAN AV,MORGAN AV/HARRISON PL,WILLIAMS AV/FLATLANDS AV,S 5 ST/HOOPER ST,GLENWOOD RD/E 98 ST,ROCKAWAY AV/FULTON ST,Jackie Gleason Depot (JG)
DECATUR ST/BUSHWICK AV,,,,,,,,,,,,,,0.204 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MARCY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.671 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/DITMAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTROSE AV/MANHATTAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESEROLE ST/GRAHAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 WILLIAMSBURG BRIDGE PLAZA,,,,,,
MONTROSE AV/GRAHAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 108 ST/STANLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,
FLATLANDS AV/E 103 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATLANDS AV/E 105 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 4 ST/HOOPER ST,,,,,,,,,,,,,,,,,,,0.206 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPER ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESEROLE ST/UNION AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY PY/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/PACIFIC ST,,0.096 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPER ST/EVERGREEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,
WASHINGTON PLZ/WASHINGTON PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.737 CANARSIE WILLIAMS AV,,,,,,,,,,,,
ROCKAWAY AV/HEGEMAN AV,,,,,,,,,,0.24 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/MAC DOUGAL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,
MESEROLE ST/LORIMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/SUTTER AV,,,,,,,,,0.173 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPER ST/BUSHWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/GROVE ST,,,,,,,,,,,,,,,,0.159 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/EASTERN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.335 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY AV/WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/TROUTMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,
MORGAN AV/THAMES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,0.102 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/MELROSE ST,,,,,,,,,,,,,,,,,,,,,,,,,0.216 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHNSON AV/HUMBOLT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON PLZ/LANE 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHNSON AV/BUSHWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,
FLATLANDS AV/E 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/MARION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/GEORGE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/FOSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 WILLIAMSBURG BRIDGE PLAZA,,,,,0.257 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESEROLE ST/MANHATTAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN AV/HARRISON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,
WILLIAMS AV/FLATLANDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,
S 5 ST/HOOPER ST,,,0.269 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOOD RD/E 98 ST,,,,,,,,0.194 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/FULTON ST,,0.218 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.763 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
